Date,Open,High,Low,Close,Volume,Adj Close
2013-10-01,168.14,169.50,166.84,167.43,141023700,167.43
2013-09-03,165.23,173.60,163.70,168.01,118534300,168.01
2013-08-01,169.99,170.97,163.05,163.65,109911800,162.86
2013-07-01,161.26,169.86,160.22,168.71,112422400,167.89
2013-06-03,163.83,165.99,155.73,160.42,184686200,159.64
2013-05-01,159.33,169.07,158.10,163.45,134474800,161.80
2013-04-01,156.59,159.72,153.55,159.68,137411100,158.07
2013-03-01,151.09,156.85,150.41,156.67,121695200,155.09
2013-02-01,150.65,153.28,148.73,151.61,142543400,149.42
2013-01-02,145.11,150.94,144.73,149.70,128386400,147.53
2012-12-03,142.80,145.58,139.54,142.41,156690500,140.35
2012-11-01,141.65,143.72,134.70,142.15,150920800,139.11
2012-10-01,144.52,147.16,140.39,141.35,134445400,138.32
2012-09-04,141.04,148.11,140.13,143.97,133785700,140.89
2012-08-01,138.70,143.09,135.58,141.16,111546100,137.40
2012-07-02,136.48,139.34,132.60,137.71,142158000,134.05
2012-06-01,129.41,136.27,127.14,136.10,183662900,132.48
2012-05-01,139.79,141.66,129.55,131.47,190924600,127.31
2012-04-02,140.64,142.21,135.76,139.87,157536800,135.45
2012-03-01,137.31,141.83,134.36,140.81,145136500,136.36
2012-02-01,132.29,138.19,132.13,137.02,154025800,132.11
2012-01-03,127.76,133.40,126.43,131.32,152051600,126.61
2011-12-01,124.85,127.26,120.03,125.50,187820700,121.00
2011-11-01,122.03,128.02,116.20,124.99,254230300,119.75
2011-10-03,112.49,129.42,107.43,125.50,283279500,120.24
2011-09-01,122.29,123.40,111.30,113.15,308413100,108.41
2011-08-01,130.84,130.96,110.27,122.22,406620800,116.49
2011-07-01,132.09,135.70,127.97,129.33,207393800,123.27
2011-06-01,134.51,134.92,126.19,131.97,224277400,125.79
2011-05-02,137.07,137.18,131.38,134.90,166778000,127.94
2011-04-01,133.41,136.57,129.51,136.43,146399300,129.40
2011-03-01,133.57,133.69,125.28,132.59,213912800,125.75
2011-02-01,129.46,134.69,129.38,133.15,155864500,125.74
2011-01-03,126.71,130.35,125.70,128.68,150478100,121.52
2010-12-01,120.20,126.20,120.19,125.75,127907600,118.75
2010-11-01,119.07,122.95,117.59,118.49,200838500,111.31
